MAC Address (ie: 00:11:22:33:44:55)*,Hostname*,IP Address,Description,Operating System ID,Image ID,<= This Header Row is to be deleted from the actual CSV file
98:90:96:A7:7A:E0,8160-01,,,5,2,
98:90:96:A7:7F:E0,8160-02,,,5,2,
98:90:96:A7:8B:D2,8160-03,,,5,2,
98:90:96:A7:82:CD,8160-04,,,5,2,
98:90:96:A7:89:E0,8160-05,,,5,2,
98:90:96:A7:88:7D,8160-06,,,5,2,
98:90:96:A7:79:B2,8160-07,,,5,2,
98:90:96:A7:7A:F6,8160-08,,,5,2,
98:90:96:A7:81:E9,8160-09,,,5,2,
98:90:96:A7:88:F8,8160-10,,,5,2,
98:90:96:A7:80:B8,8160-11,,,5,2,
98:90:96:A7:81:ED,8160-12,,,5,2,
98:90:96:A7:89:F0,8160-13,,,5,2,
98:90:96:A7:7B:B8,8160-14,,,5,2,
98:90:96:A7:86:7B,8160-15,,,5,2,
98:90:96:A7:7B:2D,8160-16,,,5,2,
98:90:96:A7:79:C7,8160-17,,,5,2,
98:90:96:A7:86:1E,8160-18,,,5,2,
98:90:96:A7:76:E2,8160-19,,,5,2,
98:90:96:A7:7E:7C,8160-20,,,5,2,
98:90:96:A7:83:06,8160-21,,,5,2,
98:90:96:A7:7E:6F,8160-22,,,5,2,
98:90:96:A7:7A:53,8160-23,,,5,2,
98:90:96:A7:7A:30,8160-24,,,5,2,
98:90:96:A7:7D:FF,8160-25,,,5,2,
98:90:96:A7:76:D3,8160-26,,,5,2,
98:90:96:A7:79:9E,8160-27,,,5,2,
93:90:96:A7:7F:EE,8160-28,,,5,2,
98:90:96:A7:7B:9A,8160-29,,,5,2,
98:90:96:A7:80:B6,8160-30,,,5,2,
98:90:96:A7:87:3A,8160-31,,,5,2,
98:90:96:A7:7C:D8,8160-32,,,5,2,
